OriginalValue,RegionId,RegionName
ae central,uaecentral,UAE Central
ae north,uaenorth,UAE North
aen,uaenorth,UAE North
aenorth,uaenorth,UAE North
am,westeurope,West Europe
am2,westeurope,West Europe
amsterdam,westeurope,West Europe
ap east,eastasia,East Asia
ap southeast,southeastasia,Southeast Asia
apeast,eastasia,East Asia
apsoutheast,southeastasia,Southeast Asia
ase,eastasia,East Asia
asiaeast,eastasia,East Asia
asiapacific,asiapacific,Asia Pacific
asiasoutheast,southeastasia,Southeast Asia
at east,austriaeast,Austria East
ate,austriaeast,Austria East
au central,australiacentral,Australia Central
au central 2,australiacentral2,Australia Central 2
au east,australiaeast,Australia East
au southeast,australiasoutheast,Australia Southeast
aucentral,australiacentral,Australia Central
aucentral2,australiacentral2,Australia Central 2
aue,australiaeast,Australia East
aueast,australiaeast,Australia East
auh,uaecentral,UAE Central
ausoutheast,australiasoutheast,Australia Southeast
australia,australia,Australia
australia east,australiaeast,Australia East
australia southeast,australiasoutheast,Australia Southeast
australia_east,australiaeast,Australia East
australiac,australiacentral,Australia Central
australiac2,australiacentral2,Australia Central 2
australiacentral,australiacentral,Australia Central
australiacentral2,australiacentral2,Australia Central 2
australiaeast,australiaeast,Australia East
australiasoutheast,australiasoutheast,Australia Southeast
austriae,austriaeast,Austria East
austriaeast,austriaeast,Austria East
azure stack,azurestack,Azure Stack
azurestack,azurestack,Azure Stack
bd,usdodeast,USDoD East
be central,belgiumcentral,Belgium Central
bec,belgiumcentral,Belgium Central
belgiumc,belgiumcentral,Belgium Central
belgiumcentral,belgiumcentral,Belgium Central
bj,chinanorth,China North
bjs,chinanorth2,China North 2
bl,eastus,East US
bm,westindia,West India
bn,eastus2,East US 2
br south,brazilsouth,Brazil South
br southeast,brazilsoutheast,Brazil Southeast
brazil south,brazilsouth,Brazil South
brazilse,brazilsoutheast,Brazil Southeast
brazilsouth,brazilsouth,Brazil South
brazilsoutheast,brazilsoutheast,Brazil Southeast
brse,brazilsoutheast,Brazil Southeast
brsouth,brazilsouth,Brazil South
bso,brazilsouth,Brazil South
by,westus,West US
ca central,canadacentral,Canada Central
ca east,canadaeast,Canada East
cac,canadacentral,Canada Central
cacentral,canadacentral,Canada Central
cae,canadaeast,Canada East
caeast,canadaeast,Canada East
canada central,canadacentral,Canada Central
canada east,canadaeast,Canada East
canadacentral,canadacentral,Canada Central
canadaeast,canadaeast,Canada East
canandacentral,canadacentral,Canada Central
canberra2,australiacentral2,Australia Central 2
cbr,australiacentral,Australia Central
cbr2,australiacentral2,Australia Central 2
cc,canadacentral,Canada Central
central india,centralindia,Central India
central us,centralus,Central US
centralcanada,canadacentral,Canada Central
centralindia,centralindia,Central India
centralus,centralus,Central US
