ConsumedService,ResourceType,ServiceName,ServiceCategory,ServiceSubcategory,PublisherName,PublisherType,Environment,ServiceModel
kubernetesservice,microsoft.security/pricings,Azure Kubernetes Service,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
marketplace,marketplace/account,Azure Marketplace,Other,Other (Other),Microsoft,Cloud Provider,Cloud,SaaS
mfa,mfa/perauthentication,Microsoft Entra ID,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
mfa,mfa/peruser,Microsoft Entra ID,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.aad,microsoft.aad/domainservices,Microsoft Entra Domain Services,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.agfoodplatform,microsoft.agfoodplatform/farmbeats,Azure FarmBeats,Internet of Things,IoT Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.analysisservices,microsoft.analysisservices/servers,Azure Analysis Services,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.apicenter,microsoft.apicenter/service,API Center,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.apimanagement,microsoft.apimanagement/service,API Management,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.app,microsoft.app/containerapps,Azure Container Apps,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.app,microsoft.app/jobs,Azure Container Apps,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.app,microsoft.app/managedenvironments,Azure Container Apps,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.app,microsoft.app/sessionpools,Azure Container Apps,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.appcenter,microsoft.appcenter/accounts,App Center,Developer Tools,Developer Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.appconfiguration,microsoft.appconfiguration/configurationstores,App Configuration,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.appplatform,microsoft.appplatform/spring,Azure Spring Apps,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.automation,microsoft.automation/automationaccounts,Azure Automation,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.autonomousdevelopmentplatform,microsoft.autonomousdevelopmentplatform/workspaces,Microsoft Autonomous Systems,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.avs,microsoft.avs/privateclouds,Azure VMware Solution,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.azureactivedirectory,microsoft.azureactivedirectory/b2cdirectories,Microsoft Entra External Identities,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.azureactivedirectory,microsoft.azureactivedirectory/ciamdirectories,Microsoft Entra External Identities,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.azureactivedirectory,microsoft.azureactivedirectory/guestusages,Microsoft Entra External Identities,Identity,Identity and Access Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.azurearcdata,microsoft.azurearcdata/postgresinstances,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.azurearcdata,microsoft.azurearcdata/sqlmanagedinstances,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.azurearcdata,microsoft.azurearcdata/sqlserveresulicenses,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.azurearcdata,microsoft.azurearcdata/sqlserverinstances,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.azurearcdata,microsoft.azurearcdata/sqlserverlicenses,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.azurefleet,microsoft.azurefleet/fleets,Azure Compute Fleet,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.azureplaywrightservice,microsoft.azureplaywrightservice/accounts,Playwright Testing,Developer Tools,Quality Assurance,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.azurestackhci,microsoft.azurestackhci/clusters,Azure Stack HCI,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,On-Premises,IaaS
microsoft.baremetalinfrastructure,microsoft.baremetalinfrastructure/baremetalstorageinstances,BareMetal Infrastructure,Compute,Virtual Machines,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.batch,microsoft.batch/batchaccounts,Batch,Compute,Serverless Compute,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.batch,microsoft.batch/batchaccounts/pools,Batch,Compute,Serverless Compute,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.billingbenefits,Microsoft.BillingBenefits/savingsPlanOrders,Azure Savings Plan for Compute,Compute,Other (Compute),Microsoft,Cloud Provider,Cloud,IaaS
microsoft.billingbenefits,Microsoft.BillingBenefits/savingsPlanOrders/savingsPlans,Azure Savings Plan for Compute,Compute,Other (Compute),Microsoft,Cloud Provider,Cloud,IaaS
microsoft.bing,microsoft.bing/accounts,Microsoft Bing,Analytics,Search,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.botservice,microsoft.botservice/botservices,Azure AI Bot Service,AI and Machine Learning,Bots,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.cache,microsoft.cache/redis,Azure Cache for Redis,Databases,Caching,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.cache,microsoft.cache/redisenterprise,Azure Cache for Redis,Databases,Caching,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.capacity,microsoft.capacity/reservationOrders,Azure Reservations,Management and Governance,Cost Management,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.capacity,microsoft.capacity/reservationOrders/reservations,Azure Reservations,Management and Governance,Cost Management,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.cdn,microsoft.cdn/cdnwebapplicationfirewallpolicies,Content Delivery Network,Networking,Content Delivery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.cdn,microsoft.cdn/profiles,Content Delivery Network,Networking,Content Delivery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.certificateregistration,microsoft.certificateregistration/certificateorders,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Hybrid,PaaS
microsoft.chaos,microsoft.chaos/experiments,Azure Chaos Studio,Management and Governance,Disaster Recovery,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.classiccompute,microsoft.classiccompute/domainnames,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.classiccompute,microsoft.classiccompute/virtualmachines,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.classicnetwork,microsoft.classicnetwork/ipv4vip,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.classicnetwork,microsoft.classicnetwork/publicip,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.classicnetwork,microsoft.classicnetwork/publicipaddresses,Virtual Network,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.classicstorage,microsoft.classicstorage/storageaccounts,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.codesigning,microsoft.codesigning/codesigningaccounts,Trusted Signing,Developer Tools,Continuous Integration and Deployment,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.cognitiveservices,microsoft.cognitiveservices/accounts,Azure AI Services,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.cognitiveservices,microsoft.cognitiveservices/commitmentplans,Azure AI Services,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.communication,microsoft.communication/communicationservices,Azure Communication Services,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.community,microsoft.community/communitytrainings,Community Training,Business Applications,Other (Business Applications),Microsoft,Cloud Provider,Cloud,SaaS
microsoft.compute,microsoft.compute/capacityreservationgroups,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/capacityreservationgroups/capacityreservations,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/cloudservices,Cloud Services,Compute,Serverless Compute,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.compute,microsoft.compute/disks,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/galleries,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/galleries/images/versions,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/hostgroups,Azure Dedicated Host,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/images,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/restorepointcollections,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/sharedvmimages,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/snapshots,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/virtualmachines,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/virtualmachinescalesets,Virtual Machine Scale Sets,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/virtualmachinescalesets/virtualmachines,Virtual Machine Scale Sets,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.compute,microsoft.compute/virtualmachinescalesets/virtualmachines/networkinterfaces/ipconfigurations/publicipaddresses,Virtual Machine Scale Sets,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.confidentialledger,microsoft.confidentialledger/ledgers,Azure Confidential Ledger,Databases,Ledger Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.confidentialledger,microsoft.confidentialledger/managedccfs,Azure Confidential Ledger,Databases,Ledger Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.containerinstance,microsoft.containerinstance/containergroups,Azure Container Instances,Compute,Containers,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.containerregistry,microsoft.containerregistry/registries,Azure Container Registry,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.containerservice,microsoft.containerservice/containerservices,Azure Container Service,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.containerservice,microsoft.containerservice/managedclusters,Azure Kubernetes Service,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dashboard,microsoft.dashboard/grafana,Azure Managed Grafana,Analytics,Business Intelligence,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.databox,microsoft.databox/jobs,Azure Data Box,Migration,Data Migration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.databoxedge,microsoft.databoxedge/databoxedgedevices,Azure Data Box,Migration,Data Migration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.databricks,microsoft.databricks/workspaces,Azure Databricks,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datacatalog,microsoft.datacatalog/catalogs,Data Catalog,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.datafactory,microsoft.datafactory/datafactories,Azure Data Factory,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datafactory,microsoft.datafactory/factories,Azure Data Factory,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datafactory,microsoft.datafactory/factories/pipelines,Azure Data Factory,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datafactory,microsoft.datafactory/factories/triggers,Azure Data Factory,Integration,Workflow Orchestration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datalakeanalytics,microsoft.datalakeanalytics/accounts,Azure Data Lake Analytics,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.datalakestore,microsoft.datalakestore/accounts,Azure Data Lake Store,Storage,Object Storage,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.datamigration,microsoft.datamigration/sqlmigrationservices,Azure Database Migration Service,Migration,Data Migration,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dataprotection,microsoft.dataprotection/backupvaults,Azure Backup,Storage,Backup Storage,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.datareplication.admin,microsoft.datareplication.admin/clusters,Azure Site Recovery,Management and Governance,Disaster Recovery,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.datashare,microsoft.datashare/accounts,Azure Data Share,Migration,Data Migration,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.dbformariadb,microsoft.dbformariadb/servers,Azure DB for MariaDB,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dbformysql,microsoft.dbformysql/flexibleservers,Azure DB for MySQL,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dbformysql,microsoft.dbformysql/servers,Azure DB for MySQL,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dbforpostgresql,microsoft.dbforpostgresql/flexibleservers,Azure DB for PostgreSQL,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dbforpostgresql,microsoft.dbforpostgresql/servergroupsv2,Azure DB for PostgreSQL,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dbforpostgresql,microsoft.dbforpostgresql/servers,Azure DB for PostgreSQL,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.desktopvirtualization,microsoft.desktopvirtualization/hostpools,Azure Virtual Desktop,Compute,End User Computing,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.devcenter,microsoft.devcenter/projects,Microsoft Dev Box,Developer Tools,Continuous Integration and Deployment,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.deviceregistry,microsoft.deviceregistry/billingcontainers,Azure IoT Hub,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.devices,microsoft.devices/iothubs,Azure IoT Hub,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.devices,microsoft.devices/provisioningservices,Azure IoT Hub,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.deviceupdate,microsoft.deviceupdate/accounts,Azure IoT Hub,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.devopsinfrastructure,microsoft.devopsinfrastructure/pools,Managed DevOps Pools,Developer Tools,Continuous Integration and Deployment,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.digitaltwins,microsoft.digitaltwins/digitaltwinsinstances,Azure Digital Twins,Internet of Things,IoT Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.documentdb,microsoft.documentdb/cassandraclusters,Cosmos DB,Databases,NoSQL Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.documentdb,microsoft.documentdb/databaseaccounts,Cosmos DB,Databases,NoSQL Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.documentdb,microsoft.documentdb/mongocluster,Cosmos DB,Databases,NoSQL Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.documentdb,microsoft.documentdb/mongoclusters,Cosmos DB,Databases,NoSQL Databases,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.domainregistration,microsoft.domainregistration/domains,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.dynamics365fraudprotection,microsoft.dynamics365fraudprotection/instances,Dynamics 365 Fraud Protection,Security,Threat Detection and Response,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.easm,microsoft.easm/workspaces,Microsoft Defender for Cloud,Security,Security Posture Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.edgeorder,microsoft.edgeorder/orderitems,Azure Stack Edge,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.elasticsan,microsoft.elasticsan/elasticsans,Azure Elastic SAN,Storage,Block Storage,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.eventgrid,microsoft.agfoodplatform/farmbeats,Azure FarmBeats,Internet of Things,IoT Analytics,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.apicenter/services,API Center,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.apimanagement/service,API Management,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.appconfiguration/configurationstores,App Configuration,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.autonomousdevelopmentplatform/workspaces,Microsoft Autonomous Systems,AI and Machine Learning,AI Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.cache/redis,Azure Cache for Redis,Databases,Caching,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.communication/communicationservices,Azure Communication Services,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.containerregistry/registries,Azure Container Registry,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.containerservice/managedclusters,Azure Kubernetes Service,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.devices/iothubs,Azure IoT Hub,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/domains,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/extensiontopics,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/namespaces,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/partnertopics,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/systemtopics,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventgrid/topics,Event Grid,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.eventhub/namespaces,Event Hubs,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.healthcareapis/workspaces,Azure Health Data Services,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.eventgrid,microsoft.keyvault/vaults,Key Vault,Security,Secret Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.machinelearningservices/workspaces,Azure Machine Learning,AI and Machine Learning,Machine Learning,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.maintenance/maintenanceconfigurations,Virtual Machines,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.eventgrid,microsoft.maps/accounts,Azure Maps,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.media/mediaservices,Azure Media Services,Media,Media Streaming,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.servicebus/namespaces,Service Bus,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.signalrservice/signalr,Azure SignalR Service,Web,Other (Web),Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.storage/storageaccounts,Storage Accounts,Storage,Storage Platforms,Microsoft,Cloud Provider,Cloud,IaaS
microsoft.eventgrid,microsoft.web/serverfarms,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventgrid,microsoft.web/sites,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventhub,microsoft.eventhub/clusters,Event Hubs,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.eventhub,microsoft.eventhub/namespaces,Event Hubs,Integration,Messaging,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.fabric,microsoft.fabric/capacities,Microsoft.Fabric,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.fluidrelay,microsoft.fluidrelay/fluidrelayservers,Azure Fluid Relay,Web,Other (Web),Microsoft,Cloud Provider,Cloud,SaaS
microsoft.genomics,microsoft.genomics/accounts,Microsoft Genomics,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.graph,microsoft.graph/accounts,Microsoft Graph,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.graph,microsoft.graph/azureadapplications,Microsoft Graph Data Connect,Integration,API Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.graphservices,microsoft.graphservices/accounts,Microsoft Graph,Integration,API Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.hanaonazure,microsoft.hanaonazure/hanainstances,SAP on Azure,Compute,Virtual Machines,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.hardwaresecuritymodules,microsoft.hardwaresecuritymodules/cloudhsmclusters,Azure Dedicated HSM,Security,Secret Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.hardwaresecuritymodules,microsoft.hardwaresecuritymodules/dedicatedhsms,Azure Dedicated HSM,Security,Secret Management,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.hdinsight,microsoft.hdinsight/clusterpools,HDInsight,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.hdinsight,microsoft.hdinsight/clusters,HDInsight,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.hdinsightfairfax,microsoft.hdinsightfairfax/clusters,HDInsight,Analytics,Data Processing,Microsoft,Cloud Provider,Cloud,PaaS
microsoft.healthbot,microsoft.healthbot/healthbots,Health Bot,AI and Machine Learning,Bots,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.healthcareapis,microsoft.healthcareapis/services,Azure Health Data Services,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.healthcareapis,microsoft.healthcareapis/workspaces,Azure Health Data Services,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.healthdataaiservices,microsoft.healthdataaiservices/deidservices,Azure Health Data Services,Analytics,Analytics Platforms,Microsoft,Cloud Provider,Cloud,SaaS
microsoft.hybridcompute,microsoft.hybridcompute/licenses,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.hybridcompute,microsoft.hybridcompute/machines,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.hybridcontainerservice,microsoft.kubernetes/connectedclusters,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,SaaS
microsoft.hybridnetwork,microsoft.hybridnetwork/sitenetworkservices,Azure Arc,Multicloud,Multicloud Integration,Microsoft,Cloud Provider,Hybrid,IaaS
microsoft.importexport,microsoft.importexport/jobs,Azure Import/Export,Migration,Data Migration,Microsoft,Cloud Provider,Cloud,IaaS
