ConsumedService,ResourceType,ServiceName,ServiceCategory,ServiceSubcategory,PublisherName,PublisherType,Environment,ServiceModel
,microsoft.hybridnetwork/devices,Azure Network Function Manager,Networking,Network Infrastructure,Microsoft,Cloud Provider,Cloud,IaaS
,microsoft.network/internetanalyzerprofiles,Azure Internet Analyzer,Networking,Network Connectivity,Microsoft,Cloud Provider,Cloud,SaaS
api center,microsoft.apicenter/service,API Center,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
api management,microsoft.apimanagement/gateways,API Management,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
api management,microsoft.apimanagement/service,API Management,Integration,API Management,Microsoft,Cloud Provider,Cloud,PaaS
azure app service,microsoft.web/sites,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
appservices,microsoft.security/pricings,Azure App Service,Web,Application Platforms,Microsoft,Cloud Provider,Cloud,PaaS
australiacentral,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
australiaeast,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
australiasoutheast,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
bastion scale units,microsoft.network/bastionhosts,Azure Bastion,Networking,Network Security,Microsoft,Cloud Provider,Cloud,PaaS
brazilsouth,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
canadacentral,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
canadaeast,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
centralindia,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
centralus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
citrix.services,citrix.services/xenappessentials,Citrix Virtual App Essentials,Compute,End User Computing,Citrix,Marketplace,Cloud,SaaS
citrix.services,citrix.services/xendesktopessentials,Citrix Virtual Desktop Essentials,Compute,End User Computing,Citrix,Marketplace,Cloud,SaaS
containerregistry,microsoft.security/pricings,Azure Container Registry,Compute,Containers,Microsoft,Cloud Provider,Cloud,PaaS
default,microsoft.iotsecurity/defendersettings,Microsoft Defender for IoT,Internet of Things,IoT Platforms,Microsoft,Cloud Provider,Hybrid,SaaS
eastasia,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
eastus,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
eastus2,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
francecentral,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
functions,microsoft.web/sites,Functions,Compute,Serverless Compute,Microsoft,Cloud Provider,Cloud,PaaS
github,github/enterpriseaccount,GitHub Enterprise Cloud,Developer Tools,Developer Platforms,Microsoft,Cloud Provider,Cloud,SaaS
github.enterprise,github.enterprise/accounts,GitHub Enterprise Cloud,Developer Tools,Developer Platforms,Microsoft,Cloud Provider,Cloud,SaaS
japaneast,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
japanwest,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
koreacentral,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
koreasouth,microsoft.sql/locations,Azure SQL Database,Databases,Relational Databases,Microsoft,Cloud Provider,Cloud,PaaS
