UnitOfMeasure,MeterCount,UsageToPricingRate,DistinctUnits
"100 Days",44,100,Days
"100 GB",6923,100,GB
"100 GB/Day",208,100,GB/Day
"100 GB/Month",15832,100,GB/Month
"100 GiB",148,100,GiB
"100 GiB/Hour",1433,100,GiB/Hour
"100 GiB/Month",439,100,GiB/Month
"100 Hour",2,100,Hours
"100 Hourly Units",6,100,Units/Hour
"100 Hours",231435,100,Hours
"100 IOPS/Month",4,100,IOPS/Month
"100 MB",12,100,MB
"100 MB/Month",2,100,MB/Month
"100 Mbps",10,100,Mbps
"100 Minutes",49,100,Minutes
"100 Months",8,100,Months
"100 TB",126,100,TB
"100 TB/Hour",64,100,TB/Hour
"100 TB/Month",8,100,TB/Month
"100 TiB/Hour",1030,100,TiB/Hour
"100 Unit",9,100,Units
"100 Units",4,100,Units
"100 Users",3,100,Users
"1000",2504,1000,Units
"1000 ",2852,1000,Units
"1000 /Day",73,1000,Units/Day
"1000 /Hour",2522,1000,Units/Hour
"1000 /Month",827,1000,Units/Month
"1000 APIs",11,1000,APIs
"1000 Activity Runs",6,1000,Runs
"1000 Checks",2,1000,Checks
"1000 Executions",2,1000,Executions
"1000 GB",2897,1000,GB
"1000 GB Hours",74,1000,GB Hours
"1000 GB/Month",3098,1000,GB/Month
"1000 Hours",62853,1000,Hours
"1000 IOPS/Month",278,1000,IOPS/Month
"1000 Keys",2,1000,Keys
"1000 Licenses",2,1000,Licenses
"1000 MAUS",3,1000,Users/Month
"1000 MAUs",2,1000,Users/Month
"1000 MB/Month",14,1000,MB/Month
"1000 Minutes",85,1000,Minutes
"1000 Months",28,1000,Months
"1000 Relay Hours",2,1000,Hours
"1000 Relay Hrs",2,1000,Hours
"1000 Renders",2,1000,Renders
"1000 Transactions",10,1000,Transactions
"10000",7018,10000,Units
"10000 ",7318,10000,Units
"10000 /Day",4,10000,Units/Day
"10000 /Hour",300,10000,Units/Hour
"10000 /Month",513,10000,Units/Month
"10000 1,000s",1,10000,Transactions in Thousands
"10000 Actions",2,10000,Actions
"10000 Authentications",2,10000,Authentications
"10000 Executions",2,10000,Executions
"10000 Faces",2,10000,Faces
"10000 GB",342,10000,GB
"10000 GB Hours",18,10000,GB Hours
"10000 GB/Hour",142,10000,GB/Hour
"10000 GB/Month",274,10000,GB/Month
"10000 GiB/Hour",364,10000,GiB/Hour
"10000 Hours",5188,10000,Hours
"10000 Minutes",61,10000,Minutes
"10000 Operations",6,10000,Operations
"10000 Predictions",8,10000,Predictions
"10000 Seconds",205,10000,Seconds
"10000 Transactions",18,10000,Transactions
"10000 Users",2,10000,Users
"10000 Virtual User Minutes",4,10000,Minutes
"100000",1848,100000,Units
"100000 ",2003,100000,Units
"100000 /Day",2,100000,Units/Day
"100000 /Hour",62,100000,Units/Hour
"100000 Executions",2,100000,Executions
"100000 GB",443,100000,GB
"100000 GB Seconds",2,100000,GB Seconds
"100000 GB/Hour",10,100000,GB/Hour
"100000 GiB/Hour",2,100000,GiB/Hour
"100000 Hours",30,100000,Hours
"100000 Seconds",75,100000,Seconds
"100000 Transactions",4,100000,Transactions
"1000000",10803,1000000,Units
"1000000 ",11395,1000000,Units
"1000000 /Hour",215,1000000,Units/Hour
"1000000 /Month",265,1000000,Units/Month
"1000000 Data Points",7,1000000,Data Points
"1000000 GB Seconds",203,1000000,GB Seconds
"1000000 Messages",8,1000000,Messages
"1000000 Operations",422,1000000,Operations
"1000000 Pushes",4,1000000,Pushes
"1000000 Requests",1,1000000,Requests
"1000000 Seconds",376,1000000,Seconds
"1000000 Transactions",4,1000000,Transactions
"10000000",6075,10000000,Units
"10000000 ",6715,10000000,Units
"10000000 /Hour",116,10000000,Units/Hour
"10000000 /Month",2086,10000000,Units/Month
"10000000 GB Seconds",12,10000000,GB Seconds
"10000000 Operations",726,10000000,Operations
"10000000 Pushes",1,10000000,Pushes
"10000000 Queries",5,10000000,Queries
"10000000 Seconds",120,10000000,Seconds
"10000000 Transactions",8,10000000,Transactions
"100000000",5237,100000000,Units
"100000000 ",5781,100000000,Units
"100000000 /Month",219,100000000,Units/Month
"100000000 Events",8,100000000,Events
"100000000 Operation Units",24,100000000,Operation Units
"100000000 Operations",470,100000000,Operations
"100000000 Pushes",1,100000000,Pushes
"100000000 Transactions",16,100000000,Transactions
"1000000000",1279,1000000000,Units
"1000000000 ",1363,1000000000,Units
"10000000000",1195,10000000000,Units
"10000000000 ",1267,10000000000,Units
"100000000000",103,100000000000,Units
"100000000000 ",137,100000000000,Units
"1024 GB",3,1024,GB
"102400 TiB/Hour",2,102400,TiB/Hour
"10K",238,10000,Units
"10K/Month",1,10000,Units/Month
"128 MB",37,128,MB
"150 Hours",4,150,Hours
"1M",8,1000000,Units
"2",7,2,Units
"2 ",7,2,Units
"2 Hosted Zones",2,2,Hosted Zones
"20 GB/Month",24,20,GB/Month
"200",10,200,Units
"200 ",10,200,Units
"200 /Hour",4,200,Units/Hour
"200 GB",18,200,GB
"200 Hours",47,200,Hours
"200 minutes",4,200,Minutes
"2000 Hours",20,2000,Hours
"200000",4,200000,Units
"200000 ",4,200000,Units
"200000 Transactions",2,200000,Transactions
"2000000",3,2000000,Units
"2000000 ",3,2000000,Units
"25000 ",2,25000,Units
"250000",6,250000,Units
"250000 ",6,250000,Units
"2500000 ",2,2500000,Units
"30 /Day",22,30,Units/Day
"30 Days",6,30,Days
"31 Connections",33,31,Connections
"5 Connections",6,5,Connections
"5 GB",16,5,GB
"5 TB",1,5,TB
"50 Hours",85,50,Hours
"500",5,500,Units
"500 ",5,500,Units
"500 Hours",6,500,Hours
"500 Minute",2,500,Minutes
"500 Minutes",4,500,Minutes
"50000",4,50000,Units
"50000 ",12,50000,Units
"50000 GB Seconds",15,50000,GB Seconds
"500000 Requests",2,500000,Requests
"5000000",23,5000000,Units
"5000000 ",27,5000000,Units
"5000000 Requests",1,5000000,Requests
"5000000000 Requests",1,5000000000,Requests
"60",87,60,Units
"60 ",87,60,Units
"60 Minutes",4,60,Minutes
"744 Connections",26,744,Connections
"CallingMinutes",1,1,Minutes
"Minute(s)",2,1,Minutes
"Per Call",6,1,Calls
"Unassigned",1,1,Unassigned
