"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"arizeai.observabilityeval/organizations","Azure Native Arize AI Cloud Service","Azure Native Arize AI Cloud Service","Azure Native Arize AI Cloud Service","Azure Native Arize AI Cloud Service","false","","https://microsoft.github.io/finops-toolkit/svg/arizeai.observabilityeval/organizations.svg",""
"astronomer.astro/organizations","Astro Organization","Apache Airflow™ on Astro - An Azure Native ISV Service","Astro Organization","Astro Organization","false","This SaaS offering allows you to manage your Astro resource as an integrated native service on Azure. You can easily create an Astro organization, login securely via OpenID Single-Sign On, and run and manage as many Airflow deployments as you need. The usage billing will be streamlined alongside other Azure usages via Azure marketplace.","https://microsoft.github.io/finops-toolkit/svg/astronomer.astro/organizations.svg","[{""title"":""Learn more"",""uri"":""https://docs.astronomer.io/astro""}]"
"citrix.services/xenappessentials","Citrix Virtual Apps Essentials","Citrix Virtual Apps Essentials","citrix virtual apps essentials","citrix virtual apps essentials","false","","https://microsoft.github.io/finops-toolkit/svg/citrix.services/xenappessentials.svg",""
"citrix.services/xendesktopessentials","Citrix Virtual Desktops Essentials","Citrix Virtual Desktops Essentials","citrix virtual desktops essentials","citrix virtual desktops essentials","false","","https://microsoft.github.io/finops-toolkit/svg/citrix.services/xendesktopessentials.svg",""
"commvault.contentstore/cloudaccounts","Commvault Cloud Account","Commvault Cloud Accounts","commvault cloud account","commvault cloud accounts","false","","https://microsoft.github.io/finops-toolkit/svg/commvault.contentstore/cloudaccounts.svg",""
"commvault.contentstore/cloudaccounts/plans","Commvault.ContentStore cloud accounts plan","Commvault.ContentStore cloud accounts plans","commvault.contentstore cloud accounts plan","commvault.contentstore cloud accounts plans","false","A Commvault Plan Resource","https://microsoft.github.io/finops-toolkit/svg/commvault.contentstore/cloudaccounts/plans.svg",""
"commvault.contentstore/cloudaccounts/protectiongroups","Commvault.ContentStore cloud accounts protection group","Commvault.ContentStore cloud accounts protection groups","commvault.contentstore cloud accounts protection group","commvault.contentstore cloud accounts protection groups","false","A Commvault Plan Resource","https://microsoft.github.io/finops-toolkit/svg/commvault.contentstore/cloudaccounts/protectiongroups.svg",""
"commvault.contentstore/cloudaccounts/protectiongroups/protecteditems","Commvault.ContentStore cloud accounts protection groups protected item","Commvault.ContentStore cloud accounts protection groups protected items","commvault.contentstore cloud accounts protection groups protected item","commvault.contentstore cloud accounts protection groups protected items","false","Concrete proxy resource types can be created by aliasing this type using a specific property type.","https://microsoft.github.io/finops-toolkit/svg/commvault.contentstore/cloudaccounts/protectiongroups/protecteditems.svg",""
"commvault.contentstore/cloudaccounts/storages","Commvault.ContentStore cloud accounts storage","Commvault.ContentStore cloud accounts storages","commvault.contentstore cloud accounts storage","commvault.contentstore cloud accounts storages","false","A Commvault Storage Resource","https://microsoft.github.io/finops-toolkit/svg/commvault.contentstore/cloudaccounts/storages.svg",""
"dell.storage/filesystems","Dell PowerScale","Dell PowerScale","Dell PowerScale","Dell PowerScale","false","Sample Product Description","https://microsoft.github.io/finops-toolkit/svg/dell.storage/filesystems.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/azure/partner-solutions/""}]"
"dynatrace.observability/monitors","Dynatrace","Azure Native Dynatrace Service","Dynatrace resource","Dynatrace resources","false","Azure Native ISV Services enable you to easily provision, manage, and tightly integrate independent software vendor (ISV) software and services on Azure. This service is developed and managed by Microsoft and Dynatrace. Azure Native Dynatrace Service is a native integration of Dynatrace with Azure. Dynatrace is a unified observability and security platform designed to help enterprises monitor and optimize dynamic hybrid cloud environments at scale. It leverages causal AI and automation to provide real-time business analytics which enables teams to deliver flawless and secure digital interactions, simplify complexity and accelerate innovation.","https://microsoft.github.io/finops-toolkit/svg/dynatrace.observability/monitors.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/partners/Dynatrace/CreateNew""}]"
"github.network/networksettings","GitHub.Network network setting","GitHub.Network network settings","github.network network setting","github.network network settings","false","GitHub.Network networkSettings resource. Represents the network settings needed for vnet injection.","https://microsoft.github.io/finops-toolkit/svg/github.network/networksettings.svg",""
"informatica.datamanagement/organizations","Informatica Organization","Informatica Intelligent Data Management Cloud - An Azure Native ISV Service","Informatica organization","Informatica Intelligent Data Management Cloud - An Azure Native ISV Service","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/informatica.datamanagement/organizations.svg",""
"lambdatest.hyperexecute/organizations","Azure Native LambdaTest - HyperExecute Cloud Service","Azure Native LambdaTest - HyperExecute Cloud Service","Azure Native LambdaTest - HyperExecute Cloud Service","Azure Native LambdaTest - HyperExecute Cloud Service","false","","https://microsoft.github.io/finops-toolkit/svg/lambdatest.hyperexecute/organizations.svg",""
"microsoft.aad/domainservices","Microsoft Entra Domain Services","Microsoft Entra Domain Services","Microsoft Entra Domain Services","Microsoft Entra Domain Services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.aad/domainservices.svg","[{""title"":""Learn more"",""uri"":""https://learn.microsoft.com/entra/identity/domain-services/overview""}]"
"microsoft.aadiam/diagnosticsettings","Microsoft.aadiam diagnostic setting","Microsoft.aadiam diagnostic settings","microsoft.aadiam diagnostic setting","microsoft.aadiam diagnostic settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.aadiam/diagnosticsettings.svg",""
"microsoft.aadiam/privatelinkforazuread","Private Link for Microsoft Entra ID","Private Link for Microsoft Entra ID","private link for Microsoft Entra ID","private link for Microsoft Entra ID","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.aadiam/privatelinkforazuread.svg",""
"microsoft.advisor/advisorscore","Microsoft.Advisor advisor score","Microsoft.Advisor advisor score","microsoft.advisor advisor score","microsoft.advisor advisor score","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/advisorscore.svg",""
"microsoft.advisor/assessments","Microsoft.Advisor assessment","Microsoft.Advisor assessments","microsoft.advisor assessment","microsoft.advisor assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/assessments.svg",""
"microsoft.advisor/configurations","Microsoft.Advisor configuration","Microsoft.Advisor configurations","microsoft.advisor configuration","microsoft.advisor configurations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/configurations.svg",""
"microsoft.advisor/generaterecommendations","Microsoft.Advisor generate recommendation","Microsoft.Advisor generate recommendations","microsoft.advisor generate recommendation","microsoft.advisor generate recommendations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/generaterecommendations.svg",""
"microsoft.advisor/metadata","Microsoft.Advisor metadata","Microsoft.Advisor metadata","microsoft.advisor metadata","microsoft.advisor metadata","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/metadata.svg",""
"microsoft.advisor/recommendations","Microsoft.Advisor recommendation","Microsoft.Advisor recommendations","microsoft.advisor recommendation","microsoft.advisor recommendations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/recommendations.svg",""
"microsoft.advisor/recommendations/suppressions","Microsoft.Advisor recommendations suppression","Microsoft.Advisor recommendations suppressions","microsoft.advisor recommendations suppression","microsoft.advisor recommendations suppressions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/recommendations/suppressions.svg",""
"microsoft.advisor/resiliencyreviews","Microsoft.Advisor resiliency review","Microsoft.Advisor resiliency reviews","microsoft.advisor resiliency review","microsoft.advisor resiliency reviews","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.advisor/resiliencyreviews.svg",""
"microsoft.agfoodplatform/farmbeats","Azure Data Manager for Agriculture","Azure Data Manager for Agriculture","Azure Data Manager for Agriculture","Azure Data Manager for Agriculture","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.agfoodplatform/farmbeats.svg",""
