"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.agfoodplatform/farmbeatsextensiondefinitions","Microsoft.AgFoodPlatform farm beats extension definition","Microsoft.AgFoodPlatform farm beats extension definitions","microsoft.agfoodplatform farm beats extension definition","microsoft.agfoodplatform farm beats extension definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.agfoodplatform/farmbeatsextensiondefinitions.svg",""
"microsoft.agfoodplatform/farmbeatssolutiondefinitions","Microsoft.AgFoodPlatform farm beats solution definition","Microsoft.AgFoodPlatform farm beats solution definitions","microsoft.agfoodplatform farm beats solution definition","microsoft.agfoodplatform farm beats solution definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.agfoodplatform/farmbeatssolutiondefinitions.svg",""
"microsoft.agricultureplatform/agriservices","Agriculture data solutions","Agriculture data solutions","Agriculture data solutions","Agriculture data solutions","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.agricultureplatform/agriservices.svg",""
"microsoft.akshybrid/agentpools","Microsoft.AksHybrid agent pool","Microsoft.AksHybrid agent pools","microsoft.akshybrid agent pool","microsoft.akshybrid agent pools","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.akshybrid/agentpools.svg",""
"microsoft.akshybrid/provisionedclusters","Microsoft.AksHybrid provisioned cluster","Microsoft.AksHybrid provisioned clusters","microsoft.akshybrid provisioned cluster","microsoft.akshybrid provisioned clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.akshybrid/provisionedclusters.svg",""
"microsoft.akshybrid/upgradeprofiles","Microsoft.AksHybrid upgrade profile","Microsoft.AksHybrid upgrade profiles","microsoft.akshybrid upgrade profile","microsoft.akshybrid upgrade profiles","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.akshybrid/upgradeprofiles.svg",""
"microsoft.alertsmanagement/actionrules","Alert processing rule","Alert processing rules","alert processing rule","alert processing rules","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/actionrules.svg",""
"microsoft.alertsmanagement/alerts","Microsoft.AlertsManagement alert","Microsoft.AlertsManagement alerts","microsoft.alertsmanagement alert","microsoft.alertsmanagement alerts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/alerts.svg",""
"microsoft.alertsmanagement/alerts/enrichments","Microsoft.AlertsManagement alerts enrichment","Microsoft.AlertsManagement alerts enrichments","microsoft.alertsmanagement alerts enrichment","microsoft.alertsmanagement alerts enrichments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/alerts/enrichments.svg",""
"microsoft.alertsmanagement/prometheusrulegroups","Prometheus rule group","Prometheus rule groups","prometheus rule group","prometheus rule groups","false","Create new Prometheus rule groups that can include recording and alert rules.","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/prometheusrulegroups.svg","[{""title"":""Learn about Azure Monitor Workspace"",""uri"":""https://learn.microsoft.com/azure/azure-monitor/essentials/azure-monitor-workspace-overview""},{""title"":""Learn about Prometheus rule groups"",""uri"":""https://learn.microsoft.com/azure/azure-monitor/essentials/prometheus-rule-groups""}]"
"microsoft.alertsmanagement/smartdetectoralertrules","Smart detector alert rule","Smart detector alert rules","smart detector alert rule","smart detector alert rules","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/smartdetectoralertrules.svg",""
"microsoft.alertsmanagement/smartgroups","Microsoft.AlertsManagement smart group","Microsoft.AlertsManagement smart groups","microsoft.alertsmanagement smart group","microsoft.alertsmanagement smart groups","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/smartgroups.svg",""
"microsoft.alertsmanagement/tenantactivitylogalerts","Microsoft.AlertsManagement tenant activity log alert","Microsoft.AlertsManagement tenant activity log alerts","microsoft.alertsmanagement tenant activity log alert","microsoft.alertsmanagement tenant activity log alerts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.alertsmanagement/tenantactivitylogalerts.svg",""
"microsoft.all/arcvirtualmachines","Azure Arc virtual machine","Azure Arc virtual machines","Azure Arc virtual machine","Azure Arc virtual machines","false","Create an Azure Arc virtual machine that runs on your private cloud. Select an image from the marketplace or use your own customized image.","https://microsoft.github.io/finops-toolkit/svg/microsoft.all/arcvirtualmachines.svg","[{""title"":""Learn how to set up a private cloud"",""uri"":""https://docs.microsoft.com/azure/azure-arc/""}]"
"microsoft.all/hcivirtualmachines","Azure Local Virtual Machine - Azure Arc","Azure Local Virtual Machines - Azure Arc","azure local virtual machine - azure arc","azure local virtual machines - azure arc","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.all/hcivirtualmachines.svg",""
"microsoft.all/virtualmachines","Virtual machine","Virtual machines","virtual machine","virtual machines","false","Create a virtual machine that runs Linux or Windows. Select an image from the marketplace or use your own customized image.","https://microsoft.github.io/finops-toolkit/svg/microsoft.all/virtualmachines.svg","[{""title"":""Learn more about Windows virtual machines"",""uri"":""https://go.microsoft.com/fwlink/p/?linkid=847684""},{""title"":""Learn more about Linux virtual machines"",""uri"":""https://go.microsoft.com/fwlink/p/?linkid=847683""}]"
"microsoft.analysisservices/servers","Analysis Services server","Analysis Services servers","analysis services","analysis services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.analysisservices/servers.svg",""
"microsoft.anybuild/clusters","AnyBuild cluster","AnyBuild clusters","AnyBuild cluster","AnyBuild clusters","false"," AnyBuild is a 1ES offering that moves work off of your CI VMs and dev desktops into the cloud. It is a build system for Linux and Windows built on top of 1ES technology and Bazel Remote Execution that accelerates your Azure Pipelines, GitHub Actions, and dev desktop builds. AnyBuild wraps many existing build engines with no changes to your build language or definition and runs expensive build processes like C++ compilers in Azure VMs, and uses an action cache (build output cache) to avoid work where possible. Depending on your desktop or CI hardware specs and your repo's build graph, you can see anywhere from a few percentage points to several times faster performance, saving your team valuable time. ","https://microsoft.github.io/finops-toolkit/svg/microsoft.anybuild/clusters.svg","[{""title"":""AnyBuild README.md"",""uri"":""https://aka.ms/AnyBuild/Config""}]"
"microsoft.apicenter/deletedservices","Microsoft.ApiCenter deleted service","Microsoft.ApiCenter deleted services","microsoft.apicenter deleted service","microsoft.apicenter deleted services","false","Soft-deleted service entity.","https://microsoft.github.io/finops-toolkit/svg/microsoft.apicenter/deletedservices.svg",""
"microsoft.apicenter/services","API Center","API Centers","API Center","API Centers","false","API Center is a structured repository that provides comprehensive information about APIs available within your organization.","https://microsoft.github.io/finops-toolkit/svg/microsoft.apicenter/services.svg",""
"microsoft.apicenter/services/workspaces","Workspace","Workspaces","workspace","workspaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.apicenter/services/workspaces.svg",""
"microsoft.apimanagement/gateways","API Management gateway","API Management gateways","Gateway","Gateways","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.apimanagement/gateways.svg",""
"microsoft.apimanagement/gateways/configconnections","Microsoft.ApiManagement gateways config connection","Microsoft.ApiManagement gateways config connections","microsoft.apimanagement gateways config connection","microsoft.apimanagement gateways config connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.apimanagement/gateways/configconnections.svg",""
"microsoft.apimanagement/service","API Management service","API Management services","API Management service","API Management services","false","Hybrid and multi-cloud management, observability, and discovery platform for APIs across all environments.","https://microsoft.github.io/finops-toolkit/svg/microsoft.apimanagement/service.svg",""
"microsoft.apimanagement/service/workspaces","Workspace","Workspaces","workspace","workspaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.apimanagement/service/workspaces.svg",""
"microsoft.apisecurity/defendersettings","Microsoft.ApiSecurity defender setting","Microsoft.ApiSecurity defender settings","microsoft.apisecurity defender setting","microsoft.apisecurity defender settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.apisecurity/defendersettings.svg",""
"microsoft.app/agents","SRE Agent","SRE Agents","sre agent","sre agents","true","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/agents.svg",""
"microsoft.app/builders","Microsoft.App builder","Microsoft.App builders","microsoft.app builder","microsoft.app builders","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/builders.svg",""
"microsoft.app/builders/builds","Microsoft.App builders build","Microsoft.App builders builds","microsoft.app builders build","microsoft.app builders builds","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/builders/builds.svg",""
"microsoft.app/connectedenvironments","Container Apps Connected Environment","Container Apps Connected Environments","container apps connected environment","container apps connected environments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/connectedenvironments.svg",""
"microsoft.app/containerapps","Container App","Container Apps","container app","container apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/containerapps.svg",""
"microsoft.app/jobs","Container App Job","Container App Jobs","container app job","container app jobs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/jobs.svg",""
"microsoft.app/logicapps","Logic app","Logic apps","logic app","logic apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/logicapps.svg",""
"microsoft.app/logicapps/workflows","Logic app workflow","Logic app workflows","logic app workflow","logic app workflows","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/logicapps/workflows.svg",""
"microsoft.app/managedenvironments","Container Apps Environment","Container Apps Environments","container apps environment","container apps environments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/managedenvironments.svg",""
"microsoft.app/sessionpools","Container App Session Pool","Container App Session Pools","container app session pool","container app session pools","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/sessionpools.svg",""
"microsoft.app/spaces","App Space","App Spaces","app space","app spaces","true","","https://microsoft.github.io/finops-toolkit/svg/microsoft.app/spaces.svg",""
"microsoft.appassessment/migrateprojects","Microsoft.AppAssessment migrate project","Microsoft.AppAssessment migrate projects","microsoft.appassessment migrate project","microsoft.appassessment migrate projects","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects.svg",""
"microsoft.appassessment/migrateprojects/assessments","Microsoft.AppAssessment migrate projects assessment","Microsoft.AppAssessment migrate projects assessments","microsoft.appassessment migrate projects assessment","microsoft.appassessment migrate projects assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/assessments.svg",""
"microsoft.appassessment/migrateprojects/assessments/assessedapplications","Microsoft.AppAssessment migrate projects assessments assessed application","Microsoft.AppAssessment migrate projects assessments assessed applications","microsoft.appassessment migrate projects assessments assessed application","microsoft.appassessment migrate projects assessments assessed applications","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/assessments/assessedapplications.svg",""
"microsoft.appassessment/migrateprojects/assessments/assessedmachines","Microsoft.AppAssessment migrate projects assessments assessed machine","Microsoft.AppAssessment migrate projects assessments assessed machines","microsoft.appassessment migrate projects assessments assessed machine","microsoft.appassessment migrate projects assessments assessed machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/assessments/assessedmachines.svg",""
"microsoft.appassessment/migrateprojects/assessments/machinestoassess","Microsoft.AppAssessment migrate projects assessments machines to asses","Microsoft.AppAssessment migrate projects assessments machines to assess","microsoft.appassessment migrate projects assessments machines to asses","microsoft.appassessment migrate projects assessments machines to assess","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/assessments/machinestoassess.svg",""
"microsoft.appassessment/migrateprojects/sites","Microsoft.AppAssessment migrate projects site","Microsoft.AppAssessment migrate projects sites","microsoft.appassessment migrate projects site","microsoft.appassessment migrate projects sites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/sites.svg",""
"microsoft.appassessment/migrateprojects/sites/applianceconfigurations","Microsoft.AppAssessment migrate projects sites appliance configuration","Microsoft.AppAssessment migrate projects sites appliance configurations","microsoft.appassessment migrate projects sites appliance configuration","microsoft.appassessment migrate projects sites appliance configurations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appassessment/migrateprojects/sites/applianceconfigurations.svg",""
"microsoft.appcomplianceautomation/reports","Microsoft.AppComplianceAutomation report","Microsoft.AppComplianceAutomation reports","microsoft.appcomplianceautomation report","microsoft.appcomplianceautomation reports","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports.svg",""
"microsoft.appcomplianceautomation/reports/evidences","Microsoft.AppComplianceAutomation reports evidence","Microsoft.AppComplianceAutomation reports evidences","microsoft.appcomplianceautomation reports evidence","microsoft.appcomplianceautomation reports evidences","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports/evidences.svg",""
"microsoft.appcomplianceautomation/reports/scopingconfigurations","Microsoft.AppComplianceAutomation reports scoping configuration","Microsoft.AppComplianceAutomation reports scoping configurations","microsoft.appcomplianceautomation reports scoping configuration","microsoft.appcomplianceautomation reports scoping configurations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports/scopingconfigurations.svg",""
"microsoft.appcomplianceautomation/reports/snapshots","Microsoft.AppComplianceAutomation reports snapshot","Microsoft.AppComplianceAutomation reports snapshots","microsoft.appcomplianceautomation reports snapshot","microsoft.appcomplianceautomation reports snapshots","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports/snapshots.svg",""
"microsoft.appcomplianceautomation/reports/snapshots/controls","Microsoft.AppComplianceAutomation reports snapshots control","Microsoft.AppComplianceAutomation reports snapshots controls","microsoft.appcomplianceautomation reports snapshots control","microsoft.appcomplianceautomation reports snapshots controls","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports/snapshots/controls.svg",""
"microsoft.appcomplianceautomation/reports/webhooks","Microsoft.AppComplianceAutomation reports webhook","Microsoft.AppComplianceAutomation reports webhooks","microsoft.appcomplianceautomation reports webhook","microsoft.appcomplianceautomation reports webhooks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appcomplianceautomation/reports/webhooks.svg",""
"microsoft.appconfiguration/configurationstores","App Configuration","App Configuration","app configuration","app configuration","false","Azure App Configuration lets you centrally manage application configuration and feature flags in the cloud. Create a resource today to be able to manage your configuration as code, propagate changes without having to redeploy, and easily integrate configuration with CI/CD processes.","https://microsoft.github.io/finops-toolkit/svg/microsoft.appconfiguration/configurationstores.svg","[{""title"":""Learn more about App Configuration & Pricing"",""uri"":""https://azure.microsoft.com/products/app-configuration/#overview""},{""title"":""Learn how to use the service with our documentation"",""uri"":""https://learn.microsoft.com/azure/azure-app-configuration/overview""}]"
"microsoft.applicationmigration/discoveryhubs","Microsoft.ApplicationMigration discovery hub","Microsoft.ApplicationMigration discovery hubs","microsoft.applicationmigration discovery hub","microsoft.applicationmigration discovery hubs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/discoveryhubs.svg",""
"microsoft.applicationmigration/discoveryhubs/applications","Microsoft.ApplicationMigration discovery hubs application","Microsoft.ApplicationMigration discovery hubs applications","microsoft.applicationmigration discovery hubs application","microsoft.applicationmigration discovery hubs applications","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/discoveryhubs/applications.svg",""
"microsoft.applicationmigration/discoveryhubs/applications/members","Microsoft.ApplicationMigration discovery hubs applications member","Microsoft.ApplicationMigration discovery hubs applications members","microsoft.applicationmigration discovery hubs applications member","microsoft.applicationmigration discovery hubs applications members","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/discoveryhubs/applications/members.svg",""
"microsoft.applicationmigration/pgsqlsites","Microsoft.ApplicationMigration pgsqlsite","Microsoft.ApplicationMigration pgsqlsites","microsoft.applicationmigration pgsqlsite","microsoft.applicationmigration pgsqlsites","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/pgsqlsites.svg",""
"microsoft.applicationmigration/pgsqlsites/agents","Microsoft.ApplicationMigration pgsqlsites agent","Microsoft.ApplicationMigration pgsqlsites agents","microsoft.applicationmigration pgsqlsites agent","microsoft.applicationmigration pgsqlsites agents","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/pgsqlsites/agents.svg",""
"microsoft.applicationmigration/pgsqlsites/pgsqldatabases","Microsoft.ApplicationMigration pgsqlsites pgsqldatabase","Microsoft.ApplicationMigration pgsqlsites pgsqldatabases","microsoft.applicationmigration pgsqlsites pgsqldatabase","microsoft.applicationmigration pgsqlsites pgsqldatabases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/pgsqlsites/pgsqldatabases.svg",""
"microsoft.applicationmigration/pgsqlsites/pgsqlinstances","Microsoft.ApplicationMigration pgsqlsites pgsqlinstance","Microsoft.ApplicationMigration pgsqlsites pgsqlinstances","microsoft.applicationmigration pgsqlsites pgsqlinstance","microsoft.applicationmigration pgsqlsites pgsqlinstances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.applicationmigration/pgsqlsites/pgsqlinstances.svg",""
"microsoft.appplatform/spring","Azure Spring Apps","Azure Spring Apps","Azure Spring Apps","Azure Spring Apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.appplatform/spring.svg","[{""title"":""Learn more about Azure Spring Apps"",""uri"":""https://aka.ms/azurespringapps""}]"
"microsoft.appsecurity/appprotectmanagedrulesetmanifests","Microsoft.AppSecurity app protect managed rule set manifest","Microsoft.AppSecurity app protect managed rule set manifests","microsoft.appsecurity app protect managed rule set manifest","microsoft.appsecurity app protect managed rule set manifests","false","The managed rule set manifest resource definition.","https://microsoft.github.io/finops-toolkit/svg/microsoft.appsecurity/appprotectmanagedrulesetmanifests.svg",""
"microsoft.appsecurity/policies","App Protect Policy","App Protect Policies","app protect policy","app protect policies","false","App Protect Policies are used to define the security policies (TBD)","https://microsoft.github.io/finops-toolkit/svg/microsoft.appsecurity/policies.svg",""
"microsoft.arc/all","Azure Arc enabled resource","Azure Arc enabled resources","Azure Arc enabled resource","Azure Arc enabled resources","false","Azure Arc extends Azure management tools to on-premises, multi-cloud environments, and the edge. Start here by adding any of your existing resources.","https://microsoft.github.io/finops-toolkit/svg/microsoft.arc/all.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/moreaboutazurearc""}]"
"microsoft.arc/allfairfax","Azure Arc enabled resource","Azure Arc enabled resources","Azure Arc enabled resource","Azure Arc enabled resources","false","Azure Arc extends Azure management tools to on-premises, multi-cloud environments, and the edge. Start here by adding any of your existing resources.","https://microsoft.github.io/finops-toolkit/svg/microsoft.arc/allfairfax.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/moreaboutazurearc""}]"
"microsoft.arc/kubernetesresources","Azure Arc Kubernetes cluster","Azure Arc Kubernetes clusters","Azure Arc kubernetes cluster","Azure Arc kubernetes clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.arc/kubernetesresources.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/moreaboutazurearc""}]"
"microsoft.arc/kubernetesresourcesfairfax","Azure Arc Kubernetes cluster","Azure Arc Kubernetes clusters","Azure Arc kubernetes cluster","Azure Arc kubernetes clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.arc/kubernetesresourcesfairfax.svg","[{""title"":""Learn more"",""uri"":""https://aka.ms/moreaboutazurearc""}]"
"microsoft.arcnetworking/arcnwloadbalancers","Microsoft.ArcNetworking arc nw load balancer","Microsoft.ArcNetworking arc nw load balancers","microsoft.arcnetworking arc nw load balancer","microsoft.arcnetworking arc nw load balancers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.arcnetworking/arcnwloadbalancers.svg",""
"microsoft.aszlabhardware/labservers","Microsoft.AszLabHardware labserver","Microsoft.AszLabHardware labservers","microsoft.aszlabhardware labserver","microsoft.aszlabhardware labservers","false","A physical computer which can be reserved for use by a user","https://microsoft.github.io/finops-toolkit/svg/microsoft.aszlabhardware/labservers.svg",""
