"InstanceSizeFlexibilityGroup","ArmSkuName","Ratio"
"Av2 Series","Standard_A1_v2","1"
"Av2 Series","Standard_A2_v2","2.1"
"Av2 Series","Standard_A4_v2","4.4"
"Av2 Series","Standard_A8_v2","9.2"
"Av2 Series High Memory","Standard_A2m_v2","1"
"Av2 Series High Memory","Standard_A4m_v2","2"
"Av2 Series High Memory","Standard_A8m_v2","4"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b0","1"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b1","2"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b10","19.69"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b100","156"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b1000","1248"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b150","235.63"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b20","39.31"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b250","315"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b3","4.06"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b350","471.25"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b5","9.75"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b50","78.56"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b500","624"
"Azure Managed Redis - Balanced","azure_managed_redis_balanced_b700","936"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x1","1"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x10","4"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x100","31.9"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x150","47.9"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x20","8"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x250","63.9"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x3","1.5"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x350","95.8"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x5","2"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x50","16"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x500","127.7"
"Azure Managed Redis - Compute Optimized","azure_managed_redis_compute_optimized_x700","159.7"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a1000","4"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a1500","6"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a2000","8"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a250","1"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a4500","16"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a500","2"
"Azure Managed Redis - Flash Optimized","azure_managed_redis_flash_optimized_a700","3"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m10","1"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m100","8"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m1000","64"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m150","12"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m1500","96"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m20","2"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m2000","128"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m250","16"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m350","24"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m50","4"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m500","32"
"Azure Managed Redis - Memory Optimized","azure_managed_redis_memory_optimized_m700","48"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_16_vCPU","4"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_32_vCPU","8"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_4_vCPU","1"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_48_vCPU","12"
