"InstanceSizeFlexibilityGroup","ArmSkuName","Ratio"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_64_vCPU","16"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_72_vCPU","18"
"Azure Red Hat OpenShift Compute Optimized","Red_Hat_OpenShift_Compute_Optimized_v2_8_vCPU","2"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_1_vCPU","1"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_104_vCPU","104"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_2_vCPU","2"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_20_vCPU","20"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_24_vCPU","24"
"Azure Red Hat OpenShift General Purpose","Azure_Red_Hat_OpenShift_General_Purpose_96_vCPU","96"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_16_vCPU","16"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_32_vCPU","32"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_4_vCPU","4"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_48_vCPU","48"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_64_vCPU","64"
"Azure Red Hat OpenShift General Purpose","Red_Hat_OpenShift_General_Purpose_v3_8_vCPU","8"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_12_vCPU","3"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_16_vCPU","4"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_24_vCPU","6"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_4_vCPU","1"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_48_vCPU","12"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_6_vCPU","1.5"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_64_vCPU","16"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_8_vCPU","2"
"Azure Red Hat OpenShift GPU Accelerated NC","Azure_Red_Hat_OpenShift_GPU_Accelerated_NC_96_vCPU","24"
"Azure Red Hat OpenShift GPU Accelerated ND","Azure_Red_Hat_OpenShift_GPU_Accelerated_ND_96_vCPU","1"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_104_vCPU","52"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_128_vCPU","64"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_16_vCPU","8"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_192_vCPU","96"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_2_vCPU","1"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_20_vCPU","10"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_32_vCPU","16"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_4_vCPU","2"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_48_vCPU","24"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_64_vCPU","32"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_8_vCPU","4"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_80_vCPU","40"
"Azure Red Hat OpenShift Memory Optimized","Red_Hat_OpenShift_Memory_Optimized_v3_96_vCPU","48"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_16_vCPU","4"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_32_vCPU","8"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_4_vCPU","1"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_48_vCPU","12"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_64_vCPU","16"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_8_vCPU","2"
"Azure Red Hat OpenShift Storage Optimized","Azure_Red_Hat_OpenShift_Storage_Optimized_80_vCPU","20"
"Azure Redis Cache Enterprise","azure_redis_cache_enterprise_e1","1"
"Azure Redis Cache Enterprise","azure_redis_cache_enterprise_e10","12.03"
"Azure Redis Cache Enterprise","azure_redis_cache_enterprise_e100","94.23"
"Azure Redis Cache Enterprise","azure_redis_cache_enterprise_e20","24"
"Azure Redis Cache Enterprise","azure_redis_cache_enterprise_e50","47.13"
"Azure Redis Cache Enterprise Flash","azure_redis_cache_enterprise_flash_f1500","4"
"Azure Redis Cache Enterprise Flash","azure_redis_cache_enterprise_flash_f300","1"
"Azure Redis Cache Enterprise Flash","azure_redis_cache_enterprise_flash_f700","2"
"Azure Redis Cache Premium","azure_redis_cache_premium_p1_cache","1"
"Azure Redis Cache Premium","azure_redis_cache_premium_p2_cache","2"
"Azure Redis Cache Premium","azure_redis_cache_premium_p3_cache","4"
"Azure Redis Cache Premium","azure_redis_cache_premium_p4_cache","8"
"Azure Redis Cache Premium","azure_redis_cache_premium_p5_cache","18.14"
"Basv2 Series","Standard_B16als_v2","113.4"
"Basv2 Series","Standard_B16as_v2","128.08"
"Basv2 Series","Standard_B2als_v2","8"
"Basv2 Series","Standard_B2as_v2","16"
"Basv2 Series","Standard_B2ats_v2","2"
"Basv2 Series","Standard_B32als_v2","226.6"
"Basv2 Series","Standard_B32as_v2","255.96"
"Basv2 Series","Standard_B4als_v2","28.3"
"Basv2 Series","Standard_B4as_v2","31.92"
"Basv2 Series","Standard_B8als_v2","56.6"
"Basv2 Series","Standard_B8as_v2","64.04"
"Bpsv2 Series","Standard_B16pls_v2","113.34"
"Bpsv2 Series","Standard_B16ps_v2","128.1"
"Bpsv2 Series","Standard_B2pls_v2","8"
"Bpsv2 Series","Standard_B2ps_v2","16"
"Bpsv2 Series","Standard_B2pts_v2","2"
"Bpsv2 Series","Standard_B4pls_v2","28.34"
"Bpsv2 Series","Standard_B4ps_v2","31.9"
"Bpsv2 Series","Standard_B8pls_v2","56.66"
"Bpsv2 Series","Standard_B8ps_v2","64.04"
"BS Series","Standard_B1ls","1"
"BS Series","Standard_B1s","2"
"BS Series","Standard_B2s","8"
"BS Series High Memory","Standard_B12ms","12.05"
"BS Series High Memory","Standard_B16ms","16.05"
"BS Series High Memory","Standard_B1ms","0.5"
"BS Series High Memory","Standard_B20ms","20.1"
"BS Series High Memory","Standard_B2ms","2"
"BS Series High Memory","Standard_B4ms","4"
"BS Series High Memory","Standard_B8ms","8.05"
"Bsv2 Series","Standard_B16ls_v2","113.27"
"Bsv2 Series","Standard_B16s_v2","128.08"
"Bsv2 Series","Standard_B2ls_v2","8"
"Bsv2 Series","Standard_B2s_v2","16"
"Bsv2 Series","Standard_B2ts_v2","2"
"Bsv2 Series","Standard_B32ls_v2","226.73"
"Bsv2 Series","Standard_B32s_v2","255.96"
"Bsv2 Series","Standard_B4ls_v2","28.27"
"Bsv2 Series","Standard_B4s_v2","31.92"
"Bsv2 Series","Standard_B8ls_v2","56.73"
"Bsv2 Series","Standard_B8s_v2","64.04"
"Copilot_Credit_Pre-Purchase_Plan","Microsoft_Copilot_Studio_Pay_As_You_Go","1"
"D Series","Standard_D1","1"
"D Series","Standard_D2","2"
"D Series","Standard_D3","4"
"D Series","Standard_D4","8"
"D Series High Memory","Standard_D11","1"
"D Series High Memory","Standard_D12","2"
"D Series High Memory","Standard_D13","4"
"D Series High Memory","Standard_D14","8"
"Dadsv5 Internal Series","Internal_D16ads_v5","8"
"Dadsv5 Internal Series","Internal_D2ads_v5","1"
"Dadsv5 Internal Series","Internal_D32ads_v5","16"
"Dadsv5 Internal Series","Internal_D48ads_v5","24"
"Dadsv5 Internal Series","Internal_D4ads_v5","2"
"Dadsv5 Internal Series","Internal_D64ads_v5","32"
"Dadsv5 Internal Series","Internal_D8ads_v5","4"
"Dadsv5 Internal Series","Internal_D96ads_v5","48"
"Dadsv5 Series","Standard_D16ads_v5","16"
"Dadsv5 Series","Standard_D2ads_v5","2"
"Dadsv5 Series","Standard_D32ads_v5","32"
"Dadsv5 Series","Standard_D48ads_v5","48"
"Dadsv5 Series","Standard_D4ads_v5","4"
"Dadsv5 Series","Standard_D64ads_v5","64"
"Dadsv5 Series","Standard_D8ads_v5","8"
"Dadsv5 Series","Standard_D96ads_v5","96"
"Dadsv5 Series DedicatedHost","dadsv5_type1","112"
"Dalsv5 Internal Series","Internal_D16als_v5","8"
"Dalsv5 Internal Series","Internal_D2als_v5","1"
"Dalsv5 Internal Series","Internal_D32als_v5","16"
"Dalsv5 Internal Series","Internal_D48als_v5","24"
"Dalsv5 Internal Series","Internal_D4als_v5","2"
"Dalsv5 Internal Series","Internal_D64als_v5","32"
"Dalsv5 Internal Series","Internal_D8als_v5","4"
"Dalsv5 Internal Series","Internal_D96als_v5","48"
"Dasv4 Series","Standard_D16as_v4","16"
"Dasv4 Series","Standard_D2as_v4","2"
"Dasv4 Series","Standard_D32as_v4","32"
"Dasv4 Series","Standard_D48as_v4","48"
"Dasv4 Series","Standard_D4ahs_v4","4"
"Dasv4 Series","Standard_D4as_v4","4"
"Dasv4 Series","Standard_D64as_v4","64"
"Dasv4 Series","Standard_D8ahs_v4","8"
"Dasv4 Series","Standard_D8as_v4","8"
"Dasv4 Series","Standard_D96as_v4","96"
"Dasv4 Series Dedicated Host","dasv4_type1","96"
"Dasv4 Series Dedicated Host","dasv4_type2","99.84"
"Dasv5 Internal Series","Internal_D16as_v5","8"
"Dasv5 Internal Series","Internal_D2as_v5","1"
"Dasv5 Internal Series","Internal_D32as_v5","16"
"Dasv5 Internal Series","Internal_D48as_v5","24"
"Dasv5 Internal Series","Internal_D4as_v5","2"
"Dasv5 Internal Series","Internal_D64as_v5","32"
"Dasv5 Internal Series","Internal_D8as_v5","4"
"Dasv5 Internal Series","Internal_D96as_v5","48"
"Dasv5 Promo Series","Standard_D16as_v5_Promo","8"
"Dasv5 Promo Series","Standard_D2as_v5_Promo","1"
"Dasv5 Promo Series","Standard_D32as_v5_Promo","16"
"Dasv5 Promo Series","Standard_D48as_v5_Promo","24"
"Dasv5 Promo Series","Standard_D4as_v5_Promo","2"
"Dasv5 Promo Series","Standard_D64as_v5_Promo","32"
"Dasv5 Promo Series","Standard_D8as_v5_Promo","4"
"Dasv5 Promo Series","Standard_D96as_v5_Promo","48"
"Dasv5 Series","Standard_D16as_v5","16"
"Dasv5 Series","Standard_D2as_v5","2"
"Dasv5 Series","Standard_D32as_v5","32"
"Dasv5 Series","Standard_D48as_v5","48"
"Dasv5 Series","Standard_D4as_v5","4"
"Dasv5 Series","Standard_D64as_v5","64"
"Dasv5 Series","Standard_D8as_v5","8"
"Dasv5 Series","Standard_D96as_v5","96"
"Dasv5 Series DedicatedHost","dasv5_type1","112"
"Dav4 Series","Standard_D16a_v4","16"
"Dav4 Series","Standard_D2a_v4","2"
"Dav4 Series","Standard_D32a_v4","32"
"Dav4 Series","Standard_D48a_v4","48"
"Dav4 Series","Standard_D4a_v4","4"
"Dav4 Series","Standard_D64a_v4","64"
"Dav4 Series","Standard_D8a_v4","8"
"Dav4 Series","Standard_D96a_v4","96"
"DCadsv5-series DedicatedHost","dcadsv5 type 1","112"
"DCadsv5-series Linux","Standard_DC16ads_v5","16"
"DCadsv5-series Linux","Standard_DC2ads_v5","2"
"DCadsv5-series Linux","Standard_DC32ads_v5","32"
"DCadsv5-series Linux","Standard_DC48ads_v5","48"
"DCadsv5-series Linux","Standard_DC4ads_v5","4"
"DCadsv5-series Linux","Standard_DC64ads_v5","64"
"DCadsv5-series Linux","Standard_DC8ads_v5","8"
"DCadsv5-series Linux","Standard_DC96ads_v5","96"
"DCasv5-series DedicatedHost","dcasv5 type 1","112"
"DCasv5-series Linux","Standard_DC16as_v5","16"
"DCasv5-series Linux","Standard_DC2as_v5","2"
"DCasv5-series Linux","Standard_DC32as_v5","32"
"DCasv5-series Linux","Standard_DC48as_v5","48"
"DCasv5-series Linux","Standard_DC4as_v5","4"
"DCasv5-series Linux","Standard_DC64as_v5","64"
"DCasv5-series Linux","Standard_DC8as_v5","8"
"DCasv5-series Linux","Standard_DC96as_v5","96"
"DCdsv3 Series DedicatedHost","dcdsv3 type1","60"
"DCdsv3 Series Linux","Standard_DC16ds_v3","16"
"DCdsv3 Series Linux","Standard_DC1ds_v3","1"
"DCdsv3 Series Linux","Standard_DC24ds_v3","24"
"DCdsv3 Series Linux","Standard_DC2ds_v3","2"
"DCdsv3 Series Linux","Standard_DC32ds_v3","32"
"DCdsv3 Series Linux","Standard_DC48ds_v3","48"
"DCdsv3 Series Linux","Standard_DC4ds_v3","4"
"DCdsv3 Series Linux","Standard_DC8ds_v3","8"
"DCSv2 Series","Standard_DC1s_v2","1"
"DCSv2 Series","Standard_DC2s_v2","2"
"DCSv2 Series","Standard_DC4s_v2","4"
"DCSv2 Series","Standard_DC8_v2","8"
"DCsv2 Series Dedicated Host","DCsv2 Type 1","1"
"DCsv3 Series DedicatedHost","dcsv3 type1","51"
"DCsv3 Series Linux","Standard_DC16s_v3","16"
"DCsv3 Series Linux","Standard_DC1s_v3","1"
"DCsv3 Series Linux","Standard_DC24s_v3","24"
"DCsv3 Series Linux","Standard_DC2s_v3","2"
"DCsv3 Series Linux","Standard_DC32s_v3","32"
"DCsv3 Series Linux","Standard_DC48s_v3","48"
"DCsv3 Series Linux","Standard_DC4s_v3","4"
"DCsv3 Series Linux","Standard_DC8s_v3","8"
"Ddsv4 Series","Standard_D16ds_v4","16"
"Ddsv4 Series","Standard_D2ds_v4","2"
"Ddsv4 Series","Standard_D32ds_v4","32"
"Ddsv4 Series","Standard_D48ds_v4","48"
"Ddsv4 Series","Standard_D4ds_v4","4"
"Ddsv4 Series","Standard_D64ds_v4","64"
"Ddsv4 Series","Standard_D8ds_v4","8"
"Ddsv4 Series Dedicated Host","ddsv4_type 1","68"
"Ddsv4 Series Dedicated Host","ddsv4_type2","80.92"
"Ddsv5 Series","Standard_D16ds_v5","16"
"Ddsv5 Series","Standard_D2ds_v5","2"
"Ddsv5 Series","Standard_D32ds_v5","32"
"Ddsv5 Series","Standard_D48ds_v5","48"
"Ddsv5 Series","Standard_D4ds_v5","4"
"Ddsv5 Series","Standard_D64ds_v5","64"
"Ddsv5 Series","Standard_D8ds_v5","8"
"Ddsv5 Series","Standard_D96ds_v5","96"
"Ddsv5 Series DedicatedHost","ddsv5_type1","107"
"Ddv4 Series","Standard_D16d_v4","16"
"Ddv4 Series","Standard_D2d_v4","2"
"Ddv4 Series","Standard_D32d_v4","32"
"Ddv4 Series","Standard_D48d_v4","48"
"Ddv4 Series","Standard_D4d_v4","4"
"Ddv4 Series","Standard_D64d_v4","64"
"Ddv4 Series","Standard_D8d_v4","8"
"Ddv5 Series","Standard_D16d_v5","16"
"Ddv5 Series","Standard_D2d_v5","2"
"Ddv5 Series","Standard_D32d_v5","32"
"Ddv5 Series","Standard_D48d_v5","48"
"Ddv5 Series","Standard_D4d_v5","4"
"Ddv5 Series","Standard_D64d_v5","64"
"Ddv5 Series","Standard_D8d_v5","8"
"Ddv5 Series","Standard_D96d_v5","96"
"Dldsv5 Series","Standard_D16lds_v5","16"
"Dldsv5 Series","Standard_D2lds_v5","2"
"Dldsv5 Series","Standard_D32lds_v5","32"
"Dldsv5 Series","Standard_D48lds_v5","48"
"Dldsv5 Series","Standard_D4lds_v5","4"
"Dldsv5 Series","Standard_D64lds_v5","64"
"Dldsv5 Series","Standard_D8lds_v5","8"
"Dldsv5 Series","Standard_D96lds_v5","96"
"Dlsv5 Series","Standard_D16ls_v5","16"
"Dlsv5 Series","Standard_D2ls_v5","2"
"Dlsv5 Series","Standard_D32ls_v5","32"
"Dlsv5 Series","Standard_D48ls_v5","48"
"Dlsv5 Series","Standard_D4ls_v5","4"
"Dlsv5 Series","Standard_D64ls_v5","64"
"Dlsv5 Series","Standard_D8ls_v5","8"
"Dlsv5 Series","Standard_D96ls_v5","96"
"Dpdsv5 Series","Standard_D16pds_v5","16"
"Dpdsv5 Series","Standard_D2pds_v5","2"
"Dpdsv5 Series","Standard_D32pds_v5","32"
"Dpdsv5 Series","Standard_D48pds_v5","48"
"Dpdsv5 Series","Standard_D4pds_v5","4"
"Dpdsv5 Series","Standard_D64pds_v5","64"
"Dpdsv5 Series","Standard_D8pds_v5","8"
"Dpldsv5 Series","Standard_D16plds_v5","16"
"Dpldsv5 Series","Standard_D2plds_v5","2"
"Dpldsv5 Series","Standard_D32plds_v5","32"
"Dpldsv5 Series","Standard_D48plds_v5","48"
"Dpldsv5 Series","Standard_D4plds_v5","4"
"Dpldsv5 Series","Standard_D64plds_v5","64"
"Dpldsv5 Series","Standard_D8plds_v5","8"
"Dplsv5 Series","Standard_D16pls_v5","16"
"Dplsv5 Series","Standard_D2pls_v5","2"
"Dplsv5 Series","Standard_D32pls_v5","32"
"Dplsv5 Series","Standard_D48pls_v5","48"
"Dplsv5 Series","Standard_D4pls_v5","4"
"Dplsv5 Series","Standard_D64pls_v5","64"
"Dplsv5 Series","Standard_D8pls_v5","8"
"Dpsv5 Series","Standard_D16ps_v5","16"
"Dpsv5 Series","Standard_D2ps_v5","2"
"Dpsv5 Series","Standard_D32ps_v5","32"
"Dpsv5 Series","Standard_D48ps_v5","48"
"Dpsv5 Series","Standard_D4ps_v5","4"
"Dpsv5 Series","Standard_D64ps_v5","64"
"Dpsv5 Series","Standard_D8ps_v5","8"
"DS Series","Standard_DS1","1"
"DS Series","Standard_DS2","2"
"DS Series","Standard_DS3","4"
"DS Series","Standard_DS4","8"
"DS Series High Memory","Standard_DS11","1"
"DS Series High Memory","Standard_DS12","2"
"DS Series High Memory","Standard_DS13","4"
"DS Series High Memory","Standard_DS14","8"
"DSv2 Series","Standard_DS1_v2","1"
"DSv2 Series","Standard_DS2_v2","2"
"DSv2 Series","Standard_DS3_v2","4"
"DSv2 Series","Standard_DS4_v2","8"
"DSv2 Series","Standard_DS5_v2","16"
"DSv2 Series High Memory","Standard_DS11_v2","2"
"DSv2 Series High Memory","Standard_DS11-1_v2","2"
"DSv2 Series High Memory","Standard_DS12_v2","4"
"DSv2 Series High Memory","Standard_DS12-1_v2","4"
"DSv2 Series High Memory","Standard_DS12-2_v2","4"
"DSv2 Series High Memory","Standard_DS13_v2","8"
"DSv2 Series High Memory","Standard_DS13-2_v2","8"
"DSv2 Series High Memory","Standard_DS13-4_v2","8"
"DSv2 Series High Memory","Standard_DS14_v2","16"
"DSv2 Series High Memory","Standard_DS14-4_v2","16"
"DSv2 Series High Memory","Standard_DS14-8_v2","16"
"DSv2 Series High Memory","Standard_DS15_v2","20"
"DSv2 Series High Memory Isolated","Standard_DS15i_v2","1"
"DSv3 Series","Standard_D16s_v3","8"
"DSv3 Series","Standard_D2s_v3","1"
"DSv3 Series","Standard_D32-16s_v3","16"
"DSv3 Series","Standard_D32-8s_v3","16"
"DSv3 Series","Standard_D32s_v3","16"
"DSv3 Series","Standard_D48s_v3","24"
"DSv3 Series","Standard_D4s_v3","2"
"DSv3 Series","Standard_D64-16s_v3","32"
"DSv3 Series","Standard_D64-32s_v3","32"
"DSv3 Series","Standard_D64s_v3","32"
"DSv3 Series","Standard_D8hs_v3","4"
"DSv3 Series","Standard_D8s_v3","4"
"DSv3 Series Dedicated Host","dsv3_type1","68"
"DSv3 Series Dedicated Host","dsv3_type2","76.59"
"DSv3 Series Dedicated Host","dsv3_type3","85"
"DSv3 Series Dedicated Host","dsv3_type4","106.08"
"Dsv4 Series","Standard_D16s_v4","16"
"Dsv4 Series","Standard_D2s_v4","2"
"Dsv4 Series","Standard_D32s_v4","32"
"Dsv4 Series","Standard_D48s_v4","48"
"Dsv4 Series","Standard_D4s_v4","4"
"Dsv4 Series","Standard_D64s_v4","64"
"Dsv4 Series","Standard_D8s_v4","8"
"DSv4 Series Dedicated Host","dsv4_type1","80"
"DSv4 Series Dedicated Host","dsv4_type2","96"
"Dsv5 Series","Standard_D16s_v5","16"
"Dsv5 Series","Standard_D2s_v5","2"
"Dsv5 Series","Standard_D32s_v5","32"
"Dsv5 Series","Standard_D48s_v5","48"
"Dsv5 Series","Standard_D4s_v5","4"
"Dsv5 Series","Standard_D64s_v5","64"
"Dsv5 Series","Standard_D8s_v5","8"
"Dsv5 Series","Standard_D96s_v5","96"
"Dsv5 Series DedicatedHost","dsv5_type1","107"
"Dv2 Series","Standard_D1_v2","1"
"Dv2 Series","Standard_D2_v2","2"
"Dv2 Series","Standard_D3_v2","4"
"Dv2 Series","Standard_D4_v2","8"
"Dv2 Series","Standard_D5_v2","16"
"Dv2 Series High Memory","Standard_D11_v2","1"
"Dv2 Series High Memory","Standard_D12_v2","2"
"Dv2 Series High Memory","Standard_D13_v2","4"
"Dv2 Series High Memory","Standard_D14_v2","8"
"Dv2 Series High Memory","Standard_D15_v2","10"
"Dv2 Series High Memory Isolated","Standard_D15i_v2","1"
"Dv3 Series","Standard_D16_v3","8"
"Dv3 Series","Standard_D2_v3","1"
"Dv3 Series","Standard_D32_v3","16"
"Dv3 Series","Standard_D4_v3","2"
"Dv3 Series","Standard_D48_v3","24"
"Dv3 Series","Standard_D64_v3","32"
"Dv3 Series","Standard_D8_v3","4"
"Dv4 Series","Standard_D16_v4","16"
"Dv4 Series","Standard_D2_v4","2"
"Dv4 Series","Standard_D32_v4","32"
"Dv4 Series","Standard_D4_v4","4"
"Dv4 Series","Standard_D48_v4","48"
"Dv4 Series","Standard_D64_v4","64"
"Dv4 Series","Standard_D8_v4","8"
"Dv5 Series","Standard_D16_v5","16"
"Dv5 Series","Standard_D2_v5","2"
"Dv5 Series","Standard_D32_v5","32"
"Dv5 Series","Standard_D4_v5","4"
"Dv5 Series","Standard_D48_v5","48"
"Dv5 Series","Standard_D64_v5","64"
"Dv5 Series","Standard_D8_v5","8"
"Dv5 Series","Standard_D96_v5","96"
"Eadsv5 Internal Series","Internal_E16ads_v5","8"
"Eadsv5 Internal Series","Internal_E20ads_v5","10"
"Eadsv5 Internal Series","Internal_E2ads_v5","1"
"Eadsv5 Internal Series","Internal_E32ads_v5","16"
"Eadsv5 Internal Series","Internal_E48ads_v5","24"
"Eadsv5 Internal Series","Internal_E4ads_v5","2"
